,gold,debt,stock_t,ceiling,ratio,real10,band_p10,band_p50,band_p90,pctile_20y,model_ratio
1968-06-01,41,345369000000.0,83625.48425793022,128.45577832858444,0.3191759882932143,,,,,,
1968-07-01,39,354743000000.0,83741.34963210713,131.7597663301271,0.2959932389549372,,,,,,
1968-08-01,39,354743000000.0,83861.24583855056,131.57138973272632,0.2964170256103889,,,,,,
1968-09-01,40,354743000000.0,83981.31370571337,131.38328245686003,0.3044527374564117,,,,,,
1968-10-01,39,358029000000.0,84097.67209123098,132.4168244785713,0.2945245073922708,,,,,,
1968-11-01,40,358029000000.0,84218.07846035161,132.22750848683384,0.3025089140508374,,,,,,
1968-12-01,41,358029000000.0,84334.76488985163,132.04455717527014,0.3105012495560752,,,,,,
1969-01-01,42,359546000000.0,84455.51071525346,132.4144577886113,0.3171859078035838,,,,,,
1969-02-01,43,359546000000.0,84576.42941781184,132.2251451805243,0.3252028949659535,,,,,,
1969-03-01,43,359546000000.0,84685.79510792438,132.05438579597265,0.3256234144804253,,,,,,
1969-04-01,43,352895000000.0,84807.04351886702,129.42629502446584,0.3322354239675298,,,,,,
1969-05-01,43,352895000000.0,84924.54597541298,129.24721950004184,0.3326957451489785,,,,,,
1969-06-01,41,352895000000.0,85046.13621656763,129.0624350843506,0.3176757045782056,,,,,,
1969-07-01,42,360685000000.0,85163.96994252417,131.7289168909387,0.3188366001276146,,,,,,
1969-08-01,41,360685000000.0,85285.9029775974,131.54058439890142,0.3116908761456165,,,,,,
1969-09-01,41,360685000000.0,85408.01058960795,131.35252116534127,0.3121371378048453,,,,,,
1969-10-01,40,368226000000.0,85526.34570231293,133.9132257193045,0.2987008922019696,,,,,,
1969-11-01,37,368226000000.0,85648.79756684254,133.72177032658044,0.2766939138603773,,,,,,
1969-12-01,35,368226000000.0,85767.46629642832,133.53675153929606,0.2621001304625903,,,,,,
1970-01-01,35,372007000000.0,85890.26338401268,134.71504949187147,0.2598076468220565,,,,,,
1970-02-01,35,372007000000.0,86013.23628563668,134.52244773377203,0.2601796249594498,,,,,,
1970-03-01,35,372007000000.0,86124.45990916801,134.34872154612415,0.2605160629532594,,,,,,
1970-04-01,36,370094000000.0,86247.76812034998,133.46675957485743,0.2697300819670286,,,,,,
1970-05-01,36,370094000000.0,86367.26673986609,133.28209362301575,0.2701038003036242,,,,,,
1970-06-01,35,370094000000.0,86490.92258836256,133.09154055821864,0.262976894348066,,,,,,
1970-07-01,35,378678000000.0,86610.75810498209,135.99006213409376,0.2573717479847024,,,,,,
1970-08-01,35,378678000000.0,86734.76257087136,135.7956374937149,0.2577402385376328,,,,,,
1970-09-01,36,378678000000.0,86858.94457945738,135.6014908217419,0.2654838068655502,,,,,,
1970-10-01,38,389158000000.0,86979.29000051673,139.16148099911487,0.273064067205793,,,,,,
1970-11-01,37,389158000000.0,87103.82210987511,138.96252218938093,0.266258840276198,,,,,,
1970-12-01,37,389158000000.0,87224.5068153875,138.77025224507295,0.2666277491133816,,,,,,
1971-01-01,38,391668000000.0,87349.3900125417,139.46561661925853,0.2724685906185758,,,,,,
1971-02-01,39,391668000000.0,87474.45201051116,139.26622298761453,0.2800391879908196,,,,,,
1971-03-01,39,391668000000.0,87587.56513052816,139.08637055112266,0.2804013063642719,,,,,,
1971-04-01,39,397305000000.0,87712.96813438351,140.88642877793092,0.2768187137561196,,,,,,
1971-05-01,41,397305000000.0,87834.49682821699,140.69149689710363,0.2914177537679184,,,,,,
1971-06-01,40,397305000000.0,87960.25337514197,140.4903506275945,0.284717062925056,,,,,,
1971-07-01,41,412268000000.0,88082.12468937642,145.57968720771103,0.2816326974346481,,,,,,
1971-08-01,43,412268000000.0,88208.23577609916,145.3715523051479,0.2957937733906779,,,,,,
1971-09-01,42,412268000000.0,88334.52742166116,145.16371497251714,0.2893285006377218,,,,,,
1971-10-01,43,424131000000.0,88456.9173027276,149.1341673217183,0.288330975873816,,,,,,
1971-11-01,43,424131000000.0,88583.56499666697,148.92095058812245,0.2887437921271876,,,,,,
1971-12-01,43,424131000000.0,88706.299926041,148.714902062054,0.2891438544743651,,,,,,
1972-01-01,46,427344000000.0,88833.30467214897,149.62726227178774,0.3074306065725117,,,,,,
1972-02-01,48,427344000000.0,88960.49125658802,149.41334056161614,0.3212564542066805,,,,,,
1972-03-01,48,427344000000.0,89079.63710506217,149.21349714270357,0.3216867168128508,,,,,,
1972-04-01,49,426435000000.0,89207.17637457687,148.68322992953335,0.3295596956242003,,,,,,
1972-05-01,55,426435000000.0,89330.77533441101,148.47751031616073,0.3704264698598845,,,,,,
1972-06-01,62,426435000000.0,89458.6741696734,148.2652324033887,0.4181695128046955,,,,,,
1972-07-01,66,433946000000.0,89582.62158651669,150.667943081429,0.4380493862873675,,,,,,
1972-08-01,67,433946000000.0,89710.88100123433,150.45253351259342,0.4453231755940611,,,,,,
1972-09-01,65,433946000000.0,89839.32405064779,150.2374319142617,0.4326485029183309,,,,,,
1972-10-01,65,448473000000.0,89963.79886821446,155.05202884716783,0.4192141211133032,,,,,,
1972-11-01,63,448473000000.0,90092.60403136176,154.83035136224325,0.4068969646177726,,,,,,
1972-12-01,64,448473000000.0,90217.42977520404,154.61612652978778,0.4139283620435931,,,,,,
1973-01-01,65,458606000000.0,90346.5980729762,157.8835437267966,0.4116958516745526,,,,,,
1973-02-01,74,458606000000.0,90475.95130673236,157.6578180323664,0.4693709511114009,,,,,,
1973-03-01,84,458606000000.0,90592.94566226807,157.45421415702023,0.5334884204257088,,,,,,
1973-04-01,91,457317000000.0,90722.65160279998,156.78717976786933,0.5804045977147475,,,,,,
1973-05-01,102,457317000000.0,90848.35029462291,156.57024744793708,0.6514647684510888,,,,,,
1973-06-01,120,457317000000.0,90978.42190930096,156.3463993698027,0.7675264699647265,,,,,,
1973-07-01,120,460614000000.0,91104.47497781336,157.2556875198994,0.7630884573558906,,,,,,
1973-08-01,107,460614000000.0,91234.91329756637,157.03085946986556,0.6813947294259919,,,,,,
1973-09-01,103,460614000000.0,91365.53837165018,156.8063528559138,0.6568611419375631,,,,,,
1973-10-01,100,469073000000.0,91492.12780050964,159.46509835886351,0.6270964683128214,,,,,,
1973-11-01,95,469073000000.0,91623.12114001167,159.23711151986325,0.5965945946473018,,,,,,
1973-12-01,107,469073000000.0,91750.06745677562,159.0167894497013,0.672884922216627,,,,,,
1974-01-01,129,473675000000.0,91881.4300999301,160.34730132999005,0.8045037174309643,,,,,,
1974-02-01,150,473675000000.0,92012.98082081023,160.11805320768192,0.9368087919820118,,,,,,
1974-03-01,168,473675000000.0,92131.96270756106,159.91127211332935,1.0505825998366027,,,,,,
1974-04-01,172,474235000000.0,92263.87212709336,159.87143142590324,1.075864514791175,,,,,,
1974-05-01,163,474235000000.0,92391.70622171034,159.65023170433508,1.020981919411608,,,,,,
1974-06-01,154,474235000000.0,92523.98752755843,159.42198018066927,0.9659897576574782,,,,,,
1974-07-01,143,481466000000.0,92652.18201911027,161.62885989331022,0.8847429852217793,,,,,,
1974-08-01,155,481466000000.0,92784.83625971664,161.3977795300362,0.9603601762758728,,,,,,
1974-09-01,152,481466000000.0,92917.68042728605,161.16702954176031,0.9431209375278272,,,,,,
1974-10-01,159,492664000000.0,93046.42039101708,164.6872949528552,0.965466097706667,,,,,,
1974-11-01,182,492664000000.0,93179.63908019551,164.4518419528808,1.1067069717111904,,,,,,
1974-12-01,184,492664000000.0,93308.74199473768,164.22430472920738,1.1204188095264045,,,,,,
1975-01-01,176,509659000000.0,93442.33626139715,169.6465167844035,1.0374513036637871,,,,,,
1975-02-01,180,509659000000.0,93576.12180089674,169.4039735977932,1.0625488657507196,,,,,,
1975-03-01,178,509659000000.0,93697.12498357135,169.18520039673015,1.0521014815870395,,,,,,
1975-04-01,170,533188000000.0,93831.27531539116,176.7427812966729,0.9618497499744856,,,,,,
1975-05-01,167,533188000000.0,93961.28108959252,176.49823820561963,0.946185082059832,,,,,,
1975-06-01,164,533188000000.0,94095.80962543172,176.2458991306011,0.9305181045856468,,,,,,
1975-07-01,165,553647000000.0,94226.18191908688,182.75543222024703,0.9028459400383289,,,,,,
1975-08-01,163,553647000000.0,94361.08972519916,182.4941472511169,0.8931793290647703,,,,,,
1975-09-01,144,553647000000.0,94496.1906848042,182.2332358404319,0.7901961425197438,,,,,,
1975-10-01,143,576649000000.0,94627.117717265,189.54174245623673,0.7544512261356743,,,,,,
1975-11-01,142,576649000000.0,94762.59956095176,189.27075511690083,0.7502479710206439,,,,,,
1975-12-01,139,576649000000.0,94893.89571012852,189.00887819518044,0.7354151896317872,,0.27009022605544425,0.30593804887409204,0.9475931249113198,0.7833333333333333,
1976-01-01,131,600490000000.0,95029.75951170642,196.54187131880784,0.6665246398692658,,0.2701038003036242,0.30743060657251176,0.946185082059832,0.7603305785123967,
1976-02-01,131,600490000000.0,95165.81783551825,196.2608759133284,0.6674789327744134,,0.2701288711797414,0.3089621133610835,0.9458782201542456,0.7622950819672131,
1976-03-01,133,600490000000.0,95293.27455199527,195.99837295145176,0.6785770616215459,,0.27015394438292256,0.3105012495560752,0.9455714577685426,0.7723577235772358,
1976-04-01,128,620432000000.0,95429.71016198429,202.21786555142313,0.6329806698876967,,0.27017901991338367,0.3110954942110892,0.9452647948704473,0.7258064516129032,
