,gold,debt,stock_t,ceiling,ratio
1971-07-01,41,412268000000.0,88082.12468937642,145.57968720771103,0.28163269743464814
1971-08-01,43,412268000000.0,88208.23577609916,145.3715523051479,0.2957937733906779
1971-09-01,42,412268000000.0,88334.52742166116,145.16371497251714,0.28932850063772186
1971-10-01,43,424131000000.0,88456.9173027276,149.1341673217183,0.288330975873816
1971-11-01,43,424131000000.0,88583.56499666697,148.92095058812245,0.2887437921271876
1971-12-01,43,424131000000.0,88706.299926041,148.714902062054,0.28914385447436514
1972-01-01,46,427344000000.0,88833.30467214897,149.62726227178774,0.3074306065725117
1972-02-01,48,427344000000.0,88960.49125658802,149.41334056161614,0.32125645420668053
1972-03-01,48,427344000000.0,89079.63710506217,149.21349714270355,0.3216867168128508
1972-04-01,49,426435000000.0,89207.17637457687,148.68322992953335,0.3295596956242003
1972-05-01,55,426435000000.0,89330.77533441101,148.47751031616073,0.3704264698598845
1972-06-01,62,426435000000.0,89458.6741696734,148.26523240338867,0.41816951280469555
1972-07-01,66,433946000000.0,89582.62158651669,150.667943081429,0.43804938628736756
1972-08-01,67,433946000000.0,89710.88100123433,150.45253351259342,0.4453231755940611
1972-09-01,65,433946000000.0,89839.32405064779,150.2374319142617,0.43264850291833096
1972-10-01,65,448473000000.0,89963.79886821446,155.05202884716783,0.4192141211133032
1972-11-01,63,448473000000.0,90092.60403136176,154.83035136224325,0.40689696461777264
1972-12-01,64,448473000000.0,90217.42977520404,154.61612652978778,0.4139283620435931
1973-01-01,65,458606000000.0,90346.59807297621,157.8835437267966,0.41169585167455264
1973-02-01,74,458606000000.0,90475.95130673237,157.6578180323664,0.4693709511114009
1973-03-01,84,458606000000.0,90592.94566226809,157.45421415702023,0.5334884204257088
1973-04-01,91,457317000000.0,90722.65160279998,156.78717976786933,0.5804045977147475
1973-05-01,102,457317000000.0,90848.35029462291,156.57024744793708,0.6514647684510888
1973-06-01,120,457317000000.0,90978.42190930097,156.3463993698027,0.7675264699647265
1973-07-01,120,460614000000.0,91104.47497781337,157.2556875198994,0.7630884573558906
1973-08-01,107,460614000000.0,91234.91329756637,157.03085946986556,0.6813947294259919
1973-09-01,103,460614000000.0,91365.53837165018,156.80635285591381,0.6568611419375631
1973-10-01,100,469073000000.0,91492.12780050964,159.46509835886351,0.6270964683128214
1973-11-01,95,469073000000.0,91623.12114001169,159.23711151986325,0.5965945946473018
1973-12-01,107,469073000000.0,91750.06745677562,159.0167894497013,0.672884922216627
1974-01-01,129,473675000000.0,91881.4300999301,160.34730132999005,0.8045037174309643
1974-02-01,150,473675000000.0,92012.98082081023,160.11805320768192,0.9368087919820118
1974-03-01,168,473675000000.0,92131.96270756106,159.91127211332937,1.0505825998366027
1974-04-01,172,474235000000.0,92263.87212709337,159.87143142590324,1.075864514791175
1974-05-01,163,474235000000.0,92391.70622171034,159.65023170433508,1.020981919411608
1974-06-01,154,474235000000.0,92523.98752755845,159.42198018066927,0.9659897576574782
1974-07-01,143,481466000000.0,92652.18201911027,161.62885989331022,0.8847429852217793
1974-08-01,155,481466000000.0,92784.83625971663,161.3977795300362,0.9603601762758728
1974-09-01,152,481466000000.0,92917.68042728603,161.16702954176031,0.9431209375278271
1974-10-01,159,492664000000.0,93046.42039101709,164.6872949528552,0.965466097706667
1974-11-01,182,492664000000.0,93179.63908019553,164.4518419528808,1.1067069717111904
1974-12-01,184,492664000000.0,93308.74199473768,164.22430472920738,1.1204188095264045
1975-01-01,176,509659000000.0,93442.33626139717,169.6465167844035,1.0374513036637873
1975-02-01,180,509659000000.0,93576.12180089674,169.4039735977932,1.0625488657507196
1975-03-01,178,509659000000.0,93697.12498357135,169.18520039673015,1.0521014815870395
1975-04-01,170,533188000000.0,93831.27531539116,176.7427812966729,0.9618497499744856
1975-05-01,167,533188000000.0,93961.28108959252,176.49823820561963,0.9461850820598321
1975-06-01,164,533188000000.0,94095.80962543172,176.2458991306011,0.9305181045856467
1975-07-01,165,553647000000.0,94226.18191908688,182.75543222024703,0.9028459400383287
1975-08-01,163,553647000000.0,94361.08972519916,182.4941472511169,0.8931793290647703
1975-09-01,144,553647000000.0,94496.19068480421,182.2332358404319,0.7901961425197438
1975-10-01,143,576649000000.0,94627.11771726499,189.54174245623673,0.7544512261356743
1975-11-01,142,576649000000.0,94762.59956095177,189.27075511690083,0.7502479710206439
1975-12-01,139,576649000000.0,94893.89571012852,189.00887819518044,0.7354151896317872
1976-01-01,131,600490000000.0,95029.75951170642,196.54187131880786,0.6665246398692658
1976-02-01,131,600490000000.0,95165.81783551825,196.2608759133284,0.6674789327744134
1976-03-01,133,600490000000.0,95293.27455199529,195.99837295145176,0.6785770616215459
1976-04-01,128,620432000000.0,95429.71016198429,202.21786555142313,0.6329806698876967
1976-05-01,127,620432000000.0,95561.93061097336,201.93807487739764,0.6289056686170021
1976-06-01,126,620432000000.0,95698.75086776407,201.64936453363646,0.6248469976159154
1976-07-01,118,634701000000.0,95831.34407994036,206.00157494092656,0.5728111546420843
1976-08-01,110,634701000000.0,95968.5500679503,205.7070550216263,0.5347410179414388
1976-09-01,114,634701000000.0,96105.95249986206,205.41295617669348,0.5549795987646403
1976-10-01,116,653543000000.0,96239.1099009323,211.21828266483558,0.5491948828315709
1976-11-01,130,653543000000.0,96376.89970536351,210.91630443198457,0.6163582296309477
1976-12-01,134,653543000000.0,96510.43251112796,210.62447851037734,0.6362033556009393
1977-01-01,132,669207000000.0,96648.61078018064,215.36434109672143,0.6129148369121981
1977-02-01,136,669207000000.0,96786.98688519302,215.05643525484547,0.6323921432010985
1977-03-01,148,669207000000.0,96912.14203406224,214.7787051417277,0.6890813495795036
1977-04-01,149,674425000000.0,97050.89544846547,216.1439337930684,0.6893554558077463
1977-05-01,147,674425000000.0,97185.36209359315,215.84487487086298,0.681044662690963
1977-06-01,141,674425000000.0,97324.50668928027,215.536282011092,0.6541822039629681
1977-07-01,143,698840000000.0,97459.35243019529,223.0299418546893,0.641169516571765
1977-08-01,145,698840000000.0,97598.88931000613,222.71107652322075,0.6510677522807525
